block,network_rate,generation_rate,AlphaPoints_bought,AlphaPoints_sold,exchange_rate,warehouse_capacity,warehouse_AlphaPoints_level,warehouse_AlphaPoints_max,AlphaPoints_per_block_in,AlphaPoints_per_block_out,token_price,average_transaction_cost_usd
42000,0.786042861,0.697505038,0.907204273,0.825298336,1.313724533,20.31406856,28183.28112,138738.1506,0.825298336,0.907204273,0.029697503,0.859376576
43000,0.809486003,1.053764715,1.003395044,0.979122856,1.802729285,13.11737993,28692.6712,218738.0073,0.979122856,1.003395044,0.029749825,0.851881704
44000,0.70211305,0.690178909,1.035871822,1.147122362,1.353911015,21.04244415,29225.29133,138886.8131,1.147122362,1.035871822,0.029802146,0.844603364
45000,1.043594098,1.427305577,1.023799741,1.532818415,2.317925409,9.667904906,29953.03948,309814.0781,1.532818415,1.023799741,0.029854468,0.837413673
46000,0.910807253,0.820148548,0.365062757,1.41586584,1.530746483,18.72119194,30594.86214,163418.0742,1.41586584,0.365062757,0.029906789,0.830369877
47000,0.675850232,0.805492143,1.368570971,1.169778614,1.574435411,18.94278781,31281.63522,165138.4914,1.169778614,1.368570971,0.029959111,0.823467581
48000,1.59365655,1.577630213,0.857319981,1.266021764,1.709174069,10.01933688,31832.85946,317710.1553,1.266021764,0.857319981,0.030011432,0.816702562
49000,0.556555024,0.618215886,0.439923211,0.986362951,1.318924578,25.66166783,32319.07973,125940.8917,0.986362951,0.439923211,0.030063754,0.810070765
50000,0.917832248,1.184543208,1.372706915,1.909814508,2.236281171,13.5043103,33024.35595,244542.8023,1.909814508,1.372706915,0.030116075,0.803568294
51000,1.053340705,1.423782716,0.495226704,1.460988365,2.21492491,11.15385227,33582.23474,301073.2808,1.460988365,0.495226704,0.030168396,0.797191403
52000,0.672907571,0.769785421,1.182093184,0.894916579,1.445181831,22.07583153,34712.83071,157244.894,0.894916579,1.182093184,0.030220718,0.790936487
53000,0.7188266,0.769524491,0.665668305,1.08954201,1.656180517,22.70526683,35468.77529,156212,1.08954201,0.665668305,0.03027304,0.784800082
54000,0.69768971,0.802591928,1.181220969,1.279977679,1.519817898,22.11985595,36306.28256,164133.907,1.279977679,1.181220969,0.030325361,0.778778849
55000,0.788195343,0.699043339,0.812286751,1.151287732,1.33763294,26.47412808,36808.70595,139035.2379,1.151287732,0.812286751,0.030377683,0.772869577
56000,0.756151689,0.838881703,1.123929851,1.320723662,1.743355778,21.93619154,37483.50128,170874.2578,1.320723662,1.123929851,0.030430004,0.767069172
57000,0.998379086,0.918032215,1.250673475,0.911479049,1.547682987,20.73623728,38023.75085,183370.2495,0.911479049,1.250673475,0.030482326,0.761374653
58000,0.593891188,0.706896283,0.363372919,1.156697568,1.387376409,26.36996135,38213.07655,144908.3778,1.156697568,0.363372919,0.030534647,0.755828815
59000,1.011195631,1.228291487,0.794143158,0.920700667,1.876348987,15.39686529,38835.72708,252230.5664,0.920700667,0.794143158,0.030586969,0.750337219
60000,0.752308354,0.804216974,0.325785369,1.133290075,1.601928292,24.31205514,39685.7878,163231.6974,1.133290075,0.325785369,0.03063929,0.744943199
61000,0.839396355,0.828842555,0.107551941,0.886249571,1.548396751,24.09707912,40211.74241,166870.6963,0.886249571,0.107551941,0.030691612,0.739644179
62000,0.92166651,1.037010992,0.858400334,1.010134792,1.883188218,19.11788673,40695.09126,212863.1689,1.010134792,0.858400334,0.030743933,0.734437669
63000,0.791141513,0.953340063,0.549598013,0.875555391,1.837819416,21.12113402,41320.73692,195635.3808,0.875555391,0.549598013,0.030796255,0.729321269
64000,1.01457943,0.99288089,0.565672588,0.997579221,1.602705733,20.99693723,41932.2231,199704.3223,0.997579221,0.565672588,0.030848576,0.72429266
65000,0.81136272,0.821295201,0.074472992,0.907363891,1.462970796,25.57812948,42405.81648,165786.1011,0.907363891,0.074472992,0.030900898,0.7193496
66000,0.807192883,0.806199243,0.427410449,0.972366897,1.415277819,26.43688118,42962.77193,162508.6812,0.972366897,0.427410449,0.030953219,0.714489925
67000,0.860466992,0.85304562,0.752379963,1.178844687,1.583526562,25.34380116,43545.26066,171816.5082,1.178844687,0.752379963,0.031005541,0.709711544
68000,0.959789513,0.926049459,0.70608115,1.496034538,1.602323407,23.8471168,44364.03004,186031.8816,1.496034538,0.70608115,0.031057862,0.705012432
69000,0.97210268,1.18801721,1.492394287,1.287485863,1.859073249,18.27141352,44597.79463,244086.2032,1.287485863,1.492394287,0.031110184,0.700390634
70000,0.929278992,0.986980446,0.262309756,1.660397817,1.781340539,22.43616077,44930.58124,200253.4373,1.660397817,0.262309756,0.031162505,0.695844257
71000,1.335932139,1.765275175,0.701408466,1.948202488,2.600771246,12.3867936,45716.71632,369066.2088,1.948202488,0.701408466,0.031214826,0.69137147
72000,1.366135339,1.681359386,1.298448293,2.440690618,2.792281585,13.37048407,46246.61162,345877.3006,2.440690618,1.298448293,0.031267148,0.687013023
73000,1.027585785,1.031019859,0.190592011,1.052858283,1.662553919,22.31525908,46400.19468,207926.4787,1.052858283,0.190592011,0.03131947,0.682681887
74000,1.070205773,0.956014125,1.392684276,1.567931815,1.701814711,24.75451024,47110.28083,190309.1805,1.567931815,1.392684276,0.031371791,0.678419195
75000,0.975865308,0.95767301,1.15716828,1.405222582,1.769069677,24.69857354,47589.66184,192680.819,1.405222582,1.15716828,0.031424113,0.674223338
76000,1.278136109,1.497979894,0.868739069,2.05035076,2.422711747,15.60962525,48053.29569,307836.4363,2.05035076,0.868739069,0.031476434,0.670092756
77000,1.013691742,1.111090375,0.605629111,1.395074691,1.983175946,21.60755574,48888.49062,226252.806,1.395074691,0.605629111,0.031528756,0.666025937
78000,0.946412959,1.012654508,0.725989061,1.699532681,1.812111072,24.07000664,49478.75279,205557.813,1.699532681,0.725989061,0.031581077,0.662021417
79000,1.431254553,1.44130628,1.034835844,1.514477089,2.055876306,17.23245931,50109.13757,290780.6543,1.514477089,1.034835844,0.031633399,0.658077774
80000,1.252170853,1.843363252,0.863976356,2.703765135,2.595035794,12.96372836,50762.11811,391556.1706,2.703765135,0.863976356,0.03168572,0.654193631
81000,1.228540575,1.027818477,0.573730546,1.414489164,1.771237285,25.27429547,51294.6875,202948.6709,1.414489164,0.573730546,0.031738042,0.650367652
82000,0.86260745,0.930289231,1.117777302,1.054508207,1.568430988,27.20213488,51407.23535,188982.5885,1.054508207,1.117777302,0.031790363,0.646598539
83000,1.562972243,2.406850421,0.598827084,3.662778436,4.183215827,10.3113488,52021.03066,504472.9621,3.662778436,0.598827084,0.031842685,0.642885034
84000,0.922631349,0.922620969,1.09366227,1.110011208,1.544423155,28.20793068,52466.81453,186000.167,1.110011208,1.09366227,0.031895006,0.639225916
85000,5.997078478,2.171901866,0.874813422,4.019252023,2.027876135,9.894427035,53006.09887,535684.929,4.019252023,0.874813422,0.031947328,0.635619998
86000,1.263062119,1.027506439,1.467097967,1.549371786,1.656044314,26.39110403,53348.79271,202146.5657,1.549371786,1.467097967,0.031999649,0.632066129
87000,1.100933763,1.069859119,0.123226957,1.11620055,1.69882804,24.98228483,53718.94151,215024.1617,1.11620055,0.123226957,0.032051971,0.628599376
88000,0.915614977,1.069598116,1.555924552,1.257566953,2.274339555,24.8426438,54379.91717,218898.6646,1.257566953,1.555924552,0.032104292,0.62514608
89000,1.076525497,0.997322075,1.372871305,1.600790797,1.67959018,27.44348614,54718.25346,199384.3831,1.600790797,1.372871305,0.032156614,0.621741574
90000,1.176886249,1.236076477,0.090835625,1.34196215,1.86667072,22.11902336,55399.21568,250453.9358,1.34196215,0.090835625,0.032208935,0.618384831
91000,1.923002068,2.671348801,1.005606611,3.304104056,3.930756281,9.543749193,56153.28955,588353.5905,3.304104056,1.005606611,0.032261257,0.615074852
92000,0.829238469,1.040896437,1.315735772,1.442674637,1.878495764,26.56440872,56937.30475,214336.3265,1.442674637,1.315735772,0.032313578,0.611810666
93000,1.271600457,1.396411646,1.286484187,0.89065454,2.448537142,20.39128717,57984.35951,284360.447,0.89065454,1.286484187,0.0323659,0.608591331
94000,1.058283952,1.244375078,1.643817919,1.945407845,1.910628433,23.07212634,58791.55914,254815.0815,1.945407845,1.643817919,0.032418221,0.605415928
95000,1.109796149,1.099409427,0.885685472,1.841710696,1.839125072,26.88239587,59524.13195,221420.6509,1.841710696,0.885685472,0.032470543,0.602283564
96000,1.033310007,1.139281978,1.312767893,1.636075802,2.065473035,25.77360481,59776.55098,231928.0835,1.636075802,1.312767893,0.032522864,0.59919337
97000,1.277063298,1.642543598,1.900475798,1.222387527,2.989335889,17.64018163,60153.4518,341006.2954,1.222387527,1.900475798,0.032575186,0.596144499
98000,1.246268227,1.537922231,1.578461482,1.821752133,2.609417232,19.16448564,60605.57809,316237.7324,1.821752133,1.578461482,0.032627507,0.59313613
99000,3.006904206,2.253750099,1.789330289,2.998693506,2.687647339,13.20417653,61412.15086,465087.2499,2.998693506,1.789330289,0.032679829,0.590167458
100000,1.747182177,2.24208956,0.732694256,1.973402545,3.180581234,13.14558401,62108.30446,472455.7211,1.973402545,0.732694256,0.03273215,0.587237706
101000,1.28997234,1.276424539,0.944015059,1.163536866,2.04864261,24.27209976,62450.59677,257292.85,1.163536866,0.944015059,0.032784472,0.58438416
102000,1.154511578,1.23756298,1.13898246,1.403421899,2.099990581,25.16336438,63224.51273,251255.1475,1.403421899,1.13898246,0.032836793,0.581529796
103000,1.080550953,1.075033582,1.982006681,1.306567238,2.046484069,29.41346077,63712.32175,216611.6993,1.306567238,1.982006681,0.032889115,0.57871213
104000,1.238675118,1.249034578,1.262022457,1.829166527,1.978639459,25.55310176,64401.16157,252026.5251,1.829166527,1.262022457,0.032941436,0.575930459
105000,1.185029397,1.152197118,1.930777339,1.740581879,1.965381223,28.1061854,65089.87571,231586.2682,1.740581879,1.930777339,0.032993758,0.573184098
106000,1.37383219,1.340926227,1.205759096,1.191778679,2.443165072,24.14227791,65463.11679,271155.5678,1.191778679,1.205759096,0.033046079,0.570472378
107000,1.181520227,1.182215566,0.967177295,1.466325666,1.747290584,27.51017097,65570.83308,238349.4236,1.466325666,0.967177295,0.033098401,0.567794648
108000,1.160418175,1.147536359,1.821220166,1.506964674,1.873706828,28.5708761,66018.42996,231070.0729,1.506964674,1.821220166,0.033150722,0.565150273
109000,1.273735002,1.257570552,2.16720305,2.064363997,2.110261656,26.47923556,67042.31608,253188.6495,2.064363997,2.16720305,0.033203044,0.562538633
110000,1.17997798,1.185271399,2.286983975,1.794288808,1.781416589,28.31628748,67694.46716,239067.2149,1.794288808,2.286983975,0.033255365,0.559959125
111000,1.475991093,1.346118207,1.038954979,1.154296995,2.014455821,25.23152091,67777.37781,268621.3911,1.154296995,1.038954979,0.033307687,0.557411159
112000,3.126364854,3.062731654,0.311083302,3.59132085,3.180155991,10.44343157,68341.34782,654364.1053,3.59132085,0.311083302,0.033360008,0.55489416
113000,1.219576418,1.17326957,1.114222052,1.408606993,1.826877933,29.14387754,68648.25066,235548.4653,1.408606993,1.114222052,0.03341233,0.552407567
114000,1.036028087,1.084068243,2.164610894,1.553722828,1.774188628,31.51669186,69199.83951,219567.6205,1.553722828,2.164610894,0.033464651,0.549950832
115000,1.107476623,1.165279621,23.70891706,1.424894565,1.931709497,29.47717998,69588.00542,236149.7589,1.424894565,23.70891706,0.033516973,0.547523421
116000,1.202384244,1.168041127,2.136303021,1.73021935,1.796436027,29.95286613,70313.43616,234748.294,1.73021935,2.136303021,0.033569294,0.545150743
117000,3.523944033,2.921580694,0.142610542,2.076674891,3.251796272,12.20128368,70795.91605,580217.4905,2.076674891,0.142610542,0.033621616,0.542780313
118000,1.477730275,1.24151591,2.290558063,1.025920462,1.87044396,29.20343491,71628.0123,245276.89,1.025920462,2.290558063,0.033673937,0.540437679
119000,1.31133203,1.270036303,1.958509162,1.490569453,1.737642152,28.29944223,72209.23213,255162.9798,1.490569453,1.958509162,0.033726259,0.538122355
120000,1.589099098,1.504638207,2.301052763,1.828220223,2.512703573,24.1637941,72863.68806,301542.7155,1.828220223,2.301052763,0.03377858,0.535833867
121000,1.315372683,1.463916071,1.194251526,1.576794909,1.939995607,24.65006612,73526.03943,298277.7269,1.576794909,1.194251526,0.033830902,0.533571749
122000,1.481177316,1.294551007,1.923686271,2.051941183,2.104577037,28.78335467,73979.73154,257022.1718,2.051941183,1.923686271,0.033883223,0.531335549
123000,1.411735701,1.310585558,2.517288579,1.915399986,2.010006018,28.42066806,74480.74281,262067.5367,1.915399986,2.517288579,0.033935545,0.529124825
124000,1.653301068,2.182702668,1.772561123,2.789351877,3.561526017,16.54481236,74666.33751,451291.4327,2.789351877,1.772561123,0.033987866,0.526939142
125000,6.839376083,4.336075253,1.239736762,5.532821021,3.903407054,7.487167575,75856.56816,1013097.067,5.532821021,1.239736762,0.034040188,0.524778079
126000,1.306633312,1.369817125,2.52979939,1.531994814,2.205827198,27.54157888,76425.77832,277495.9869,1.531994814,2.52979939,0.034092509,0.522641221
127000,0.927818484,1.13439043,0.447920802,1.804781959,2.057645976,33.10889125,77170.49611,233076.7849,1.804781959,0.447920802,0.034144831,0.520528165
128000,1.493769906,1.460174466,0.653822603,2.295080363,2.417039464,26.52581317,77896.87781,293658.2417,2.295080363,0.653822603,0.034197152,0.518438514
129000,1.38822459,1.492857244,2.13979953,0.941392642,2.673451405,25.8265703,78349.40294,303372.0716,0.941392642,2.13979953,0.034249474,0.516371882
130000,1.187003336,1.208678728,2.214528181,1.083419584,1.799433154,32.32423398,78911.89403,244129.6062,1.083419584,2.214528181,0.034301795,0.514352215
131000,1.687877215,1.64451723,1.142592151,2.393765063,2.478596451,24.29318581,80318.33237,330615.6789,2.393765063,1.142592151,0.034354117,0.512330399
132000,1.588257089,1.416778859,1.787461617,1.089433151,2.057518599,28.57529809,80576.97611,281983.6695,1.089433151,1.787461617,0.034406438,0.510330492
133000,1.309909193,1.404052966,2.53218885,2.1253996,2.925503659,28.68616398,81770.91152,285054.9078,2.1253996,2.53218885,0.03445876,0.50835214
134000,1.725215456,2.219647221,2.565930608,2.136779796,3.204058555,17.98533505,82492.0816,458665.4099,2.136779796,2.565930608,0.034511081,0.506394998
135000,1.222912612,1.435523199,0.839267397,0.853646829,2.226919996,28.3606905,83355.85497,293913.2973,0.853646829,0.839267397,0.034563403,0.504458725
136000,1.485541148,1.53013485,0.425560978,1.829658642,2.053766692,27.12296605,83925.69553,309421.5111,1.829658642,0.425560978,0.034615724,0.502542989
137000,0.965483885,1.248602498,1.404208431,1.874188494,2.243373024,32.72623175,84344.58881,257726.3386,1.874188494,1.404208431,0.034668046,0.500647466
138000,1.74985633,1.394218646,1.201142226,1.577953166,1.990282701,31.11077048,85096.88117,273527.4731,1.577953166,1.201142226,0.034720367,0.498771837
139000,2.894478913,4.330176921,1.003101041,0.948318275,5.085835118,9.334458596,86056.82815,921926.8803,0.948318275,1.003101041,0.034772689,0.496915791
140000,1.68154689,1.979282731,0.430689219,2.115623791,2.889998677,21.3972208,86733.612,405342.0202,2.115623791,0.430689219,0.03482501,0.495079022
141000,1.342351713,1.381136668,2.166248258,1.046715109,2.266622621,31.29059277,87381.05549,279260.2098,1.046715109,2.166248258,0.034877332,0.493261233
142000,1.827590423,2.629201348,0.182242968,3.503000682,3.664269509,15.6149351,87901.33132,562909.8679,3.503000682,0.182242968,0.034929653,0.491462129
143000,1.508295816,1.519224355,2.736271463,5.444368013,2.853235156,28.91083337,88616.59419,306507.5467,5.444368013,2.736271463,0.034981975,0.489681425
144000,1.934165058,1.507457287,1.098656989,1.762522335,2.504710028,30.22763756,89126.37568,294848.4202,1.762522335,1.098656989,0.035034296,0.487941523
145000,1.289035986,1.483945128,1.388131875,1.579173297,2.35333146,29.50213777,89480.03178,303299.5149,1.579173297,1.388131875,0.035086618,0.4861967
146000,1.796696299,1.707725294,0.142867176,1.943301921,2.702499644,26.44030996,90530.60874,342389.3609,1.943301921,0.142867176,0.035138939,0.484469452
147000,1.377245403,1.26239619,1.039883398,1.86286028,1.87385053,36.22029527,91298.36989,252061.8516,1.86286028,1.039883398,0.03519126,0.482759515
148000,1.683333536,1.621892112,0.504052752,2.069994712,2.395501895,28.15285046,91686.84087,325669.598,2.069994712,0.504052752,0.035243582,0.481066629
149000,1.35991587,1.43541091,0.92415352,2.136779871,2.349028914,31.67855456,92179.76331,290980.9238,2.136779871,0.92415352,0.035295904,0.479390541
150000,1.281285293,1.527216726,1.937628819,2.295729784,2.008440354,29.65438473,92849.96137,313105.8159,2.295729784,1.937628819,0.035348225,0.477731003
151000,1.702107003,1.662418201,2.875808771,1.346402588,2.181820067,27.89020193,93235.77019,334301.2713,1.346402588,2.875808771,0.035400547,0.476087769
152000,1.725033087,1.708747256,2.53179253,2.028324412,2.032919642,27.26787632,93838.57832,344137.8444,2.028324412,2.53179253,0.035452868,0.474460601
153000,1.991170678,2.310144659,2.647309013,1.741367867,3.418719506,19.88476524,94642.5147,475959.4568,1.741367867,2.647309013,0.03550519,0.472849265
154000,1.667489039,1.515919623,2.077740799,2.201039944,2.328210251,31.45147118,95107.14963,302392.9335,2.201039944,2.077740799,0.035557511,0.471253531
155000,1.860165235,1.61351875,1.578308919,1.344167242,2.117561222,29.9053055,95712.07952,320051.2821,1.344167242,1.578308919,0.035609833,0.469673173
156000,2.969160166,4.17897374,1.935984302,6.592249971,5.487853852,10.87438375,95918.21141,882013.7062,6.592249971,1.935984302,0.035662154,0.46810797
157000,1.932500098,1.553026988,2.841176007,1.205218974,2.228125601,31.60774327,96413.80928,305037.422,1.205218974,2.841176007,0.035714476,0.466557705
158000,1.564762545,1.706954294,1.312252496,2.010150521,2.798250592,27.78473132,96486.49994,347261.9581,2.010150521,1.312252496,0.035766797,0.465022165
159000,1.343274017,1.332688281,2.46886747,1.506261093,2.279410727,36.12747267,96981.54602,268445.3173,1.506261093,2.46886747,0.035819119,0.463524949
160000,1.63530511,1.46451183,1.171651445,2.390498574,2.306945024,33.39035497,97374.56323,291621.1716,2.390498574,1.171651445,0.03587144,0.462018159
161000,2.497314294,2.902364927,0.802203889,4.625139787,4.089366452,16.55794942,98310.41689,593712.3701,4.625139787,0.802203889,0.035923762,0.460525481
162000,1.81522035,1.64435891,2.386224613,0.88166976,2.410451533,30.07208083,98597.90085,327876.8967,0.88166976,2.386224613,0.035976083,0.459046716
163000,1.31278303,1.441349411,0.514457146,1.394279042,2.278020243,33.60471029,98564.95864,293304.3552,1.394279042,0.514457146,0.036028405,0.457581672
164000,2.460857223,2.268470521,0.244684503,1.001381057,2.338495708,21.88909943,99211.13178,453241.0088,1.001381057,0.244684503,0.036080726,0.456130158
165000,1.932455151,1.806575201,0.602449538,0.855212037,2.275242869,27.48974428,99385.57474,361536.0003,0.855212037,0.602449538,0.036133047,0.454691988
166000,1.75472961,2.00634885,0.540685466,1.433520786,3.231332746,24.38063228,100017.3962,410229.3253,1.433520786,0.540685466,0.036185369,0.453266978
167000,1.999838821,1.770006167,1.599369694,1.118908001,2.457192836,28.61410834,100709.5526,351959.3616,1.118908001,1.599369694,0.03623769,0.451854948
168000,6.484038218,4.598116283,2.231911394,1.576715,4.088338838,11.27014018,101256.0886,898451.5028,1.576715,2.231911394,0.036290012,0.450455723
169000,1.102977824,1.389071547,3.315600804,0.916600255,2.336360641,35.73369128,102234.5625,286108.0339,0.916600255,3.315600804,0.036342334,0.449069128
170000,1.497994675,1.719889338,1.758895859,1.768208846,2.704884877,29.3838668,103266.2385,351438.529,1.768208846,1.758895859,0.036394655,0.447694994
171000,1.647442127,1.624924275,2.275949241,1.229277328,2.288155879,31.65202457,103534.9037,327106.8812,1.229277328,2.275949241,0.036446977,0.446333153
172000,2.01389091,2.472340092,2.961261402,2.528759657,3.66117432,20.46944764,104050.5949,508323.5718,2.528759657,2.961261402,0.036499298,0.444983441
173000,1.365241517,1.638238736,0.625018067,2.346581838,2.836656711,31.06331538,104393.788,336062.2175,2.346581838,0.625018067,0.03655162,0.443679
174000,2.290737817,2.532730344,1.774118402,2.42856526,3.20082507,20.32049998,104801.1685,515737.8716,2.42856526,1.774118402,0.036603941,0.442352966
175000,1.581690659,1.688805472,1.981298433,2.237512927,2.967059002,30.8142107,105617.3727,342754.5735,2.237512927,1.981298433,0.036656263,0.441038585
176000,1.458918299,1.858099956,2.09520634,0.855844973,2.567253455,27.82823,106635.6902,383196.9534,0.855844973,2.09520634,0.036708584,0.439735706
177000,1.619529097,1.788828283,1.378310768,1.844248877,3.007995114,29.27519278,106638.8271,364261.8579,1.844248877,1.378310768,0.036760906,0.438444179
178000,1.566221074,1.734190386,2.123631968,0.807514761,2.237750401,30.36895555,107254.9312,353177.2673,0.807514761,2.123631968,0.036813227,0.437163854
179000,1.776598858,1.852904014,0.514005712,1.664413128,2.527530275,28.56467483,107165.7342,375164.7251,1.664413128,0.514005712,0.036865549,0.435894588
180000,1.634230609,1.544441098,1.26944532,1.184924776,1.935374184,34.99670663,108298.5881,309453.8974,1.184924776,1.26944532,0.03691787,0.434636238
181000,1.956379031,1.892402651,3.182079978,1.667341567,2.426421767,28.66183631,108956.6647,380150.7283,1.667341567,3.182079978,0.036970192,0.433388663
182000,1.771370622,1.989912384,1.315863042,1.588675819,2.996595001,26.92390843,109260.2796,405810.3491,1.588675819,1.315863042,0.037022513,0.432151725
